5,Arcoscephale ,Golden Era,EA
6,Ermor ,New Faith,EA
7,Ulm ,Enigma of Steel,EA
8,Marverni ,Time of Druids,EA
9,Sauromatia ,Amazon Queens,EA
10,T’ien Ch’i ,Spring and Autumn,EA
11,Machaka ,Lion Kings,EA
12,Mictlan ,Reign of Blood,EA
13,Abysia ,Children of Flame,EA
14,Caelum ,Eagle Kings,EA
15,C’tis ,Lizard Kings,EA
16,Pangaea ,Age of Revelry,EA
17,Agartha ,Pale Ones,EA
18,Tir na n’Og ,Land of the Ever Young,EA
19,Fomoria ,The Cursed Ones,EA
20,Vanheim ,Age of Vanir,EA
21,Helheim ,Dusk and Death,EA
22,Niefelheim ,Sons of Winter,EA
24,Rus ,Sons of Heaven,EA
25,Kailasa ,Rise of the Ape Kings,EA
26,Lanka ,Land of Demons,EA
27,Yomi ,Oni Kings,EA
28,Hinnom ,Sons of the Fallen,EA
29,Ur ,The First City,EA
30,Berytos ,Phoenix Empire,EA
31,Xibalba ,Vigil of the Sun,EA
32,Mekone ,Brazen Giants,EA
33,Ubar,Kingdom of the Unseen,EA
36,Atlantis ,Emergence of the Deep Ones,EA
37,R’lyeh ,Time of Aboleths,EA
38,Pelagia ,Pearl Kings,EA
39,Oceania ,Coming of the Capricorns,EA
40,Therodos ,Telkhine Spectre,EA
43,Arcoscephale ,The Old Kingdom,MA
44,Ermor ,Ashen Empire,MA
45,Sceleria ,Reformed Empire,MA
46,Pythium ,Emerald Empire,MA
47,Man ,Tower of Avalon,MA
48,Eriu ,Last of the Tuatha,MA
49,Ulm ,Forges of Ulm,MA
50,Marignon ,Fiery Justice,MA
51,Mictlan ,Reign of the Lawgiver,MA
52,T’ien Ch’i ,Imperial Bureaucracy,MA
53,Machaka ,Reign of Sorcerors,MA
54,Agartha ,Golem Cult,MA
55,Abysia ,Blood and Fire,MA
56,Caelum ,Reign of the Seraphim,MA
57,C’tis ,Miasma,MA
58,Pangaea ,Age of Bronze,MA
59,Asphodel ,Carrion Woods,MA
60,Vanheim ,Arrival of Man,MA
61,Jotunheim ,Iron Woods,MA
62,Vanarus ,Land of the Chuds,MA
63,Bandar Log ,Land of the Apes,MA
64,Shinuyama ,Land of the Bakemono,MA
65,Ashdod ,Reign of the Anakim,MA
66,Uruk ,City States,MA
67,Nazca ,Kingdom of the Sun,MA
68,Xibalba ,Flooded Caves,MA
69,Phlegra ,Deformed Giants,MA
70,Phaeacia ,Isle of the Dark Ships,MA
71,Ind Magn ,Magnificent Kingdom of Exalted Virtue,MA
72,Na’Ba ,Queens of the Desert,MA
73,Atlantis ,Kings of the Deep,MA
74,R’lyeh ,Fallen Star,MA
75,Pelagia ,Triton Kings,MA
76,Oceania ,Mermidons,MA
77,Ys ,Morgen Queens,MA
80,Arcoscephale ,Sibylline Guidance,LA
81,Pythium ,Serpent Cult,LA
82,Lemuria ,Soul Gate,LA
83,Man ,Towers of Chelms,LA
84,Ulm ,Black Forest,LA
85,Marignon ,Conquerors of the Sea,LA
86,Mictlan ,Blood and Rain,LA
87,T’ien Ch’i ,Barbarian Kings,LA
89,Jomon ,Human Daimyos,LA
90,Agartha ,Ktonian Dead,LA
91,Abysia ,Blood of Humans,LA
92,Caelum ,Return of the Raptors,LA
93,C’tis ,Desert Tombs,LA
94,Pangaea ,New Era,LA
95,Midgård ,Age of Men,LA
96,Utgård ,Well of Urd,LA
97,Bogarus ,Age of Heroes,LA
98,Patala ,Reign of the Nagas,LA
99,Gath ,Last of the Giants,LA
100,Ragha ,Dual Kingdom,LA
101,Xibalba ,Return of the Zotz,LA
102,Phlegra ,Sleeping Giants,LA
106,Atlantis ,Frozen Sea,LA
107,R’lyeh ,Dreamlands,LA
108,Erytheia ,Kingdom of Two Worlds,LA
